sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフ内で日本語を表示できるようにする
sns . set ( font = 'IPAexGothic' , style = 'white' )	日本語を表示できるようにグラフの中でする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフの中で日本語を表示できるようにする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフ中で日本語を表示できるようにする
sns . set ( font = 'IPAexGothic' , style = 'white' )	日本語を表示できるようにグラフ中でする
sns . set ( font = 'IPAexGothic' , style = 'white' )	日本語を表示できるようにグラフ内でする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフの日本語フォントを有効にする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフの日本語表示を有効にする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフの日本語表示を可能にする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフの日本語表示をできるようにする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフの日本語フォントを可能にする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフフォントを日本語に指定する
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフのフォントを日本語に指定する
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフ内のフォントを日本語表示にする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフ内のフォントを日本語にする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフのフォントを日本語に変更する
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフ内のフォントを日本語に変更する
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフ内のフォントを日本語に指定する
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフのフォントを日本語にセットする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフフォントを日本語表示にセットする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフ内のフォントを日本語表示にセットする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフのフォントを日本語表示にセットする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフフォントを日本語表示に変更する
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフのフォントを日本語表示に変更する
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフフォントを日本語にする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフ内のフォントを日本語にセットする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフフォントを日本語に変更する
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフフォントを日本語表示に指定する
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフフォントを日本語表示にする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフのフォントを日本語表示に指定する
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフのフォントを日本語に設定する
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフ内のフォントを日本語表示に変更する
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフ内のフォントを日本語表示に設定する
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフフォントを日本語にセットする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフ内のフォントを日本語表示に指定する
plt . title ( <A> )	グラフのタイトルを <A> に設定する
plt . title ( <A> )	グラフ名を <A> にセットする
plt . title ( <A> )	<A> にグラフ名を変更する
plt . title ( <A> )	<A> にグラフの名前をする
plt . title ( <A> )	グラフのタイトルを <A> に指定する
plt . title ( <A> )	<A> にグラフ名をする
plt . title ( <A> )	グラフの名前を <A> に変更する
plt . title ( <A> )	<A> にグラフタイトルを設定する
plt . title ( <A> )	<A> にグラフタイトルを変更する
plt . title ( <A> )	グラフタイトルを <A> に変更する
plt . title ( <A> )	<A> にグラフ名を設定する
plt . title ( <A> )	グラフのタイトルを <A> に変更する
plt . title ( <A> )	<A> にグラフの名前を設定する
plt . title ( <A> )	グラフ名を <A> にする
plt . title ( <A> )	<A> にグラフ名をセットする
plt . title ( <A> )	<A> にグラフのタイトルをセットする
plt . title ( <A> )	<A> にグラフの名前を変更する
plt . title ( <A> )	<A> にグラフのタイトルを変更する
plt . title ( <A> )	グラフタイトルを <A> にする
plt . title ( <A> )	<A> にグラフタイトルをセットする
plt . title ( <A> )	グラフの名前を <A> にセットする
plt . title ( <A> )	グラフ名を <A> に指定する
plt . title ( <A> )	グラフのタイトルを <A> にする
plt . title ( <A> )	<A> にグラフタイトルをする
plt . title ( <A> )	<A> にグラフの名前を指定する
plt . title ( <A> )	グラフ名を <A> に設定する
plt . title ( <A> )	<A> にグラフのタイトルを指定する
plt . title ( <A> )	<A> にグラフタイトルを指定する
plt . title ( <A> )	グラフタイトルを <A> に指定する
plt . title ( <A> )	<A> にグラフ名を指定する
plt . title ( <A> )	グラフの名前を <A> に設定する
plt . title ( <A> )	グラフタイトルを <A> にセットする
plt . title ( <A> )	グラフ名を <A> に変更する
plt . title ( <A> )	グラフの名前を <A> に指定する
plt . title ( <A> )	グラフのタイトルを <A> にセットする
plt . title ( <A> )	<A> にグラフのタイトルを設定する
plt . title ( <A> )	グラフの名前を <A> にする
plt . title ( <A> )	グラフタイトルを <A> に設定する
plt . title ( <A> )	<A> にグラフのタイトルをする
plt . title ( <A> )	<A> にグラフの名前をセットする
plt . figure ( figsize = ( <A> , <B> ) )	描画するグラフの大きさを縦 <B> 横 <A> に設定する
plt . figure ( figsize = ( <A> , <B> ) )	<A> × <B> に描画するグラフのサイズをセットする
plt . figure ( figsize = ( <A> , <B> ) )	縦 <B> 横 <A> に表示するグラフの大きさを変更する
plt . figure ( figsize = ( <A> , <B> ) )	出力するグラフの大きさを <A> × <B> に設定する
plt . figure ( figsize = ( <A> , <B> ) )	縦 <B> 横 <A> に表示するグラフのサイズを指定する
plt . figure ( figsize = ( <A> , <B> ) )	<A> × <B> に出力するグラフの大きさをする
plt . figure ( figsize = ( <A> , <B> ) )	横 <A> 縦 <B> に表示するグラフの大きさを指定する
plt . figure ( figsize = ( <A> , <B> ) )	縦 <B> 横 <A> に表示するグラフの大きさをする
plt . figure ( figsize = ( <A> , <B> ) )	出力するグラフの大きさを <A> × <B> にセットする
plt . figure ( figsize = ( <A> , <B> ) )	表示するグラフの大きさを縦 <B> 横 <A> にセットする
plt . figure ( figsize = ( <A> , <B> ) )	<A> × <B> に表示するグラフのサイズをする
plt . figure ( figsize = ( <A> , <B> ) )	出力するグラフの大きさを <A> × <B> に変更する
plt . figure ( figsize = ( <A> , <B> ) )	<A> × <B> に出力するグラフの大きさをセットする
plt . figure ( figsize = ( <A> , <B> ) )	出力するグラフの大きさを <A> × <B> にする
plt . figure ( figsize = ( <A> , <B> ) )	出力するグラフのサイズを横 <A> 縦 <B> にセットする
plt . figure ( figsize = ( <A> , <B> ) )	横 <A> 縦 <B> に表示するグラフのサイズをする
plt . figure ( figsize = ( <A> , <B> ) )	縦 <B> 横 <A> に描画するグラフのサイズをする
plt . figure ( figsize = ( <A> , <B> ) )	表示するグラフの大きさを縦 <B> 横 <A> に指定する
plt . figure ( figsize = ( <A> , <B> ) )	表示するグラフの大きさを縦 <B> 横 <A> に変更する
plt . figure ( figsize = ( <A> , <B> ) )	表示するグラフのサイズを縦 <B> 横 <A> に設定する
plt . figure ( figsize = ( <A> , <B> ) )	表示するグラフのサイズを縦 <B> 横 <A> に変更する
plt . figure ( figsize = ( <A> , <B> ) )	描画するグラフのサイズを縦 <B> 横 <A> に指定する
plt . figure ( figsize = ( <A> , <B> ) )	縦 <B> 横 <A> に表示するグラフの大きさを設定する
plt . figure ( figsize = ( <A> , <B> ) )	縦 <B> 横 <A> に表示するグラフの大きさを指定する
plt . figure ( figsize = ( <A> , <B> ) )	描画するグラフの大きさを縦 <B> 横 <A> に指定する
plt . figure ( figsize = ( <A> , <B> ) )	出力するグラフの大きさを <A> × <B> に指定する
plt . figure ( figsize = ( <A> , <B> ) )	横 <A> 縦 <B> に表示するグラフのサイズをセットする
plt . figure ( figsize = ( <A> , <B> ) )	<A> × <B> に出力するグラフの大きさを変更する
plt . figure ( figsize = ( <A> , <B> ) )	表示するグラフの大きさを <A> × <B> に指定する
plt . figure ( figsize = ( <A> , <B> ) )	<A> × <B> に表示するグラフのサイズを変更する
plt . figure ( figsize = ( <A> , <B> ) )	描画するグラフの大きさを <A> × <B> に設定する
plt . figure ( figsize = ( <A> , <B> ) )	出力するグラフの大きさを縦 <B> 横 <A> に設定する
plt . figure ( figsize = ( <A> , <B> ) )	表示するグラフの大きさを縦 <B> 横 <A> にする
plt . figure ( figsize = ( <A> , <B> ) )	表示するグラフの大きさを横 <A> 縦 <B> にセットする
plt . figure ( figsize = ( <A> , <B> ) )	縦 <B> 横 <A> に表示するグラフのサイズを変更する
plt . figure ( figsize = ( <A> , <B> ) )	表示するグラフのサイズを縦 <B> 横 <A> にする
plt . figure ( figsize = ( <A> , <B> ) )	<A> × <B> に描画するグラフの大きさをする
